evtId,ipad,itime,amp
41,42,272,97.0
41,43,268,109.4
41,43,269,397.5
41,43,270,842.8
41,43,271,833.9
41,43,272,420.5
41,44,268,43.1
41,44,269,180.9
41,44,270,367.4
41,44,271,296.8
41,44,272,119.8
42,42,269,57.7
42,42,270,116.0
42,42,271,78.3
42,43,268,100.7
42,43,269,339.1
42,43,270,610.4
42,43,271,647.8
42,43,272,303.3
42,44,268,44.1
42,44,269,150.2
42,44,270,281.5
42,44,271,315.8
42,44,272,159.5
43,42,269,69.0
43,42,270,143.2
43,42,271,142.5
43,42,272,54.8
43,43,268,99.7
43,43,269,404.4
43,43,270,787.8
43,43,271,808.6
43,43,272,383.3
43,44,269,107.8
43,44,270,253.9
43,44,271,345.6
43,44,272,259.2
44,42,269,41.9
44,42,270,126.2
44,42,271,152.1
44,42,272,64.3
44,43,268,45.8
44,43,269,245.2
44,43,270,674.3
44,43,271,835.5
44,43,272,410.6
44,44,269,82.3
44,44,270,213.9
44,44,271,235.9
44,44,272,112.1
45,42,268,35.4
45,42,269,99.3
45,42,270,117.6
45,42,271,93.0
45,42,272,34.3
45,43,268,153.6
45,43,269,555.1
45,43,270,896.8
45,43,271,736.7
45,43,272,273.4
45,43,273,40.1
45,44,268,40.7
45,44,269,184.6
45,44,270,361.5
45,44,271,309.2
45,44,272,103.1
46,42,269,69.4
46,42,270,119.2
46,42,271,144.7
46,42,272,113.2
46,42,273,44.0
46,43,269,514.8
46,43,270,1115.0
46,43,271,1086.5
46,43,272,497.9
46,43,273,127.8
46,44,269,151.1
46,44,270,386.4
46,44,271,393.1
46,44,272,154.1
47,42,269,72.9
47,42,270,121.2
47,42,271,86.7
47,43,268,110.9
47,43,269,421.1
47,43,270,886.8
47,43,271,968.0
47,43,272,441.8
47,44,268,56.7
47,44,269,181.3
47,44,270,378.5
47,44,271,448.5
47,44,272,231.3
48,42,270,71.4
48,42,271,108.4
48,42,272,52.4
48,43,268,205.4
48,43,269,450.0
48,43,270,669.2
48,43,271,781.2
48,43,272,458.6
48,44,268,78.5
48,44,269,220.3
48,44,270,246.4
48,44,271,189.2
48,44,272,130.0
49,42,268,37.8
